t_s,poolPct
0.1,138.3
0.2,147.7
0.3,152.9
0.4,155.7
0.5,152.1
0.6,141.2
0.7,109.1
0.8,155.6
0.9,155.0
1.0,164.2
1.1,175.7
1.2,132.4
1.3,131.4
1.4,139.9
1.5,153.2
1.6,157.0
1.7,93.3
1.8,156.3
1.9,147.6
2.0,142.1
2.1,134.5
2.2,125.9
2.3,142.6
2.4,164.5
2.5,109.1
2.6,152.6
2.7,167.2
2.8,176.2
2.9,158.2
3.0,148.4
3.1,179.8
3.2,217.7
3.3,210.1
3.4,125.0
3.5,127.5
3.6,190.7
3.7,164.2
3.8,157.9
3.9,164.5
4.0,165.5
4.1,158.9
4.2,141.6
4.3,194.2
4.4,206.1
4.5,134.9
4.6,141.9
4.7,107.0
4.8,95.7
4.9,131.1
5.0,228.7
5.1,233.6
5.2,224.9
5.3,215.6
5.4,211.3
5.5,216.8
5.6,219.4
5.7,222.5
5.8,234.5
5.9,222.7
6.0,218.9
6.1,189.9
6.2,118.8
6.3,93.8
6.4,93.8
6.5,145.2
6.6,205.3
6.7,191.7
6.8,112.0
6.9,67.6
7.0,92.0
7.1,134.5
7.2,195.2
7.3,195.9
7.4,178.3
7.5,140.3
7.6,158.7
7.7,165.4
7.8,156.3
7.9,81.3
8.0,78.1
8.1,78.1
8.2,60.0
8.3,66.0
8.4,77.1
8.5,109.4
8.6,101.5
8.7,93.9
8.8,93.1
8.9,90.2
9.0,74.7
9.1,68.0
9.2,132.7
9.3,131.2
9.4,98.9
9.5,81.6
9.6,81.0
9.7,78.1
9.8,80.9
9.9,85.7
10.0,85.7
10.1,93.2
10.2,93.2
10.3,121.7
10.4,117.8
10.5,99.0
10.6,99.0
10.7,114.3
10.8,114.6
10.9,114.6
11.0,107.9
11.1,207.4
11.2,119.4
11.3,124.3
11.4,208.7
11.5,256.1
11.6,203.5
11.7,187.5
11.8,215.5
11.9,181.9
12.0,144.5
12.1,121.2
12.2,171.1
12.3,214.6
12.4,251.1
12.5,268.7
12.6,253.2
12.7,220.8
12.8,226.2
12.9,180.1
13.0,225.2
13.1,227.4
13.2,211.6
13.3,260.4
13.4,240.6
13.5,210.7
13.6,202.8
13.7,200.6
13.8,120.5
13.9,84.5
14.0,106.2
14.1,115.9
14.2,150.8
14.3,156.3
14.4,129.6
14.5,168.7
14.6,137.5
14.7,133.1
14.8,155.3
14.9,170.7
15.0,213.7
15.1,190.4
15.2,172.3
15.3,218.8
15.4,248.9
15.5,155.0
15.6,124.4
15.7,116.7
15.8,92.5
15.9,54.7
16.0,103.8
16.1,114.7
16.2,132.4
16.3,131.1
16.4,122.8
16.5,144.4
16.6,138.4
16.7,195.8
16.8,165.2
16.9,133.2
17.0,145.7
17.1,141.8
17.2,145.2
17.3,159.8
17.4,192.2
17.5,212.5
17.6,219.9
17.7,201.5
17.8,135.0
17.9,111.0
18.0,165.4
18.1,157.4
18.2,140.9
18.3,118.1
18.4,128.9
18.5,180.9
18.6,189.3
18.7,236.8
18.8,216.1
18.9,161.9
19.0,134.7
19.1,161.5
19.2,190.3
19.3,186.7
19.4,170.7
19.5,174.9
19.6,265.5
19.7,203.8
19.8,118.9
19.9,123.8
20.0,126.6
20.1,175.0
20.2,177.7
20.3,211.8
20.4,291.0
20.5,268.0
20.6,234.3
20.7,281.0
20.8,251.3
20.9,257.7
21.0,211.0
21.1,160.7
21.2,131.8
21.3,156.8
21.4,170.1
21.5,202.4
21.6,172.3
21.7,163.4
21.8,206.7
21.9,198.3
22.0,126.7
22.1,140.0
22.2,152.5
22.3,82.8
22.4,110.0
22.5,162.8
22.6,266.0
22.7,273.7
22.8,201.3
22.9,158.4
23.0,125.3
23.1,138.3
23.2,196.9
23.3,209.9
23.4,120.3
23.5,158.4
23.6,141.2
23.7,194.7
23.8,180.1
23.9,191.7
24.0,223.5
24.1,179.9
24.2,278.5
24.3,152.5
24.4,124.5
24.5,119.1
24.6,92.8
24.7,70.0
24.8,94.2
24.9,134.3
25.0,99.7
25.1,96.2
25.2,87.0
25.3,102.4
25.4,151.3
25.5,127.3
25.6,218.9
25.7,190.6
25.8,94.7
25.9,35.9
26.0,112.4
26.1,150.0
26.2,136.0
26.3,115.7
26.4,106.3
26.5,112.2
26.6,154.0
26.7,231.5
26.8,208.4
26.9,212.8
27.0,264.0
27.1,184.0
27.2,167.5
27.3,199.8
27.4,232.2
27.5,115.4
27.6,105.0
27.7,185.6
27.8,128.7
27.9,170.5
28.0,226.6
28.1,189.4
28.2,194.0
28.3,227.0
28.4,202.0
28.5,112.9
28.6,80.8
28.7,99.2
28.8,88.7
28.9,145.4
29.0,155.3
29.1,116.5
29.2,101.9
29.3,117.9
29.4,195.6
29.5,199.4
29.6,172.6
29.7,164.5
29.8,206.3
29.9,195.3
30.0,212.3
30.1,262.4
30.2,226.1
30.3,163.3
30.4,138.4
30.5,147.6
30.6,150.0
30.7,100.4
30.8,170.5
30.9,114.9
31.0,178.7
31.1,165.3
31.2,113.1
31.3,66.0
31.4,62.3
31.5,60.7
31.6,95.6
31.7,160.0
31.8,148.0
31.9,145.3
32.0,150.5
32.1,162.6
32.2,213.8
32.3,179.9
32.4,231.9
32.5,271.9
32.6,173.7
32.7,215.0
32.8,235.2
32.9,221.3
33.0,189.6
33.1,118.3
33.2,131.9
33.3,122.9
33.4,180.0
33.5,248.0
33.6,208.3
33.7,153.5
