t_s,poolPct
0.1,31.4
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,172.3
0.7,331.6
0.8,356.1
0.9,261.4
1.0,134.1
1.1,25.6
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,249.8
1.7,419.0
1.8,387.2
1.9,244.4
2.0,190.4
2.1,17.7
2.2,147.8
2.3,0.0
2.4,0.0
2.5,0.0
2.6,99.9
2.7,312.1
2.8,398.4
2.9,343.4
3.0,193.9
3.1,42.8
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,406.9
3.8,410.3
3.9,323.9
4.0,201.1
4.1,74.1
4.2,5.5
4.3,142.6
4.4,204.5
4.5,169.5
4.6,107.8
4.7,181.0
4.8,403.3
4.9,354.1
5.0,261.8
5.1,127.1
5.2,17.0
5.3,87.3
5.4,187.5
5.5,171.8
5.6,111.8
5.7,177.6
5.8,322.9
5.9,389.0
6.0,317.1
6.1,158.6
6.2,45.2
6.3,50.3
6.4,164.5
6.5,169.4
6.6,120.9
6.7,110.0
6.8,230.3
6.9,356.8
7.0,332.4
7.1,224.8
7.2,84.3
7.3,46.7
7.4,151.4
7.5,188.0
7.6,126.6
7.7,122.7
7.8,223.9
7.9,384.9
8.0,349.5
8.1,242.4
8.2,117.0
8.3,33.3
8.4,131.2
8.5,193.7
8.6,156.8
8.7,82.3
8.8,180.5
8.9,347.2
9.0,376.1
9.1,276.0
9.2,129.1
9.3,2.2
9.4,54.9
9.5,194.3
9.6,175.4
9.7,130.2
9.8,161.4
9.9,360.3
10.0,364.8
10.1,333.6
10.2,155.2
10.3,36.4
10.4,46.4
10.5,154.1
10.6,171.7
10.7,106.9
10.8,144.1
10.9,262.8
11.0,410.7
11.1,387.0
11.2,191.9
11.3,46.3
11.4,9.4
11.5,122.6
11.6,195.3
11.7,155.7
11.8,76.6
11.9,223.6
12.0,422.1
12.1,313.8
12.2,268.1
12.3,134.7
12.4,0.0
12.5,36.8
12.6,141.0
12.7,175.8
12.8,112.9
12.9,149.6
13.0,297.9
13.1,376.1
13.2,301.2
13.3,189.0
13.4,63.2
13.5,27.5
13.6,162.0
13.7,188.7
13.8,108.7
13.9,168.6
14.0,210.7
14.1,346.4
14.2,320.7
14.3,188.0
14.4,49.2
14.5,10.8
14.6,143.6
14.7,189.7
14.8,160.3
14.9,83.3
15.0,293.7
15.1,350.5
15.2,336.6
15.3,232.3
15.4,116.3
15.5,0.0
15.6,106.3
15.7,134.5
15.8,135.1
15.9,106.4
16.0,169.3
16.1,429.9
16.2,391.6
16.3,282.9
16.4,139.1
16.5,42.3
16.6,14.0
16.7,199.8
16.8,203.2
16.9,126.7
17.0,173.4
17.1,246.3
17.2,413.9
17.3,302.3
17.4,204.6
17.5,69.0
17.6,0.0
17.7,132.2
17.8,198.0
17.9,168.0
18.0,151.8
18.1,154.5
18.2,379.7
18.3,342.6
18.4,241.6
18.5,134.0
18.6,35.1
18.7,58.6
18.8,187.9
18.9,160.7
19.0,105.0
19.1,120.0
19.2,299.2
19.3,362.6
19.4,367.0
19.5,151.9
19.6,77.7
19.7,54.7
19.8,190.3
19.9,158.1
20.0,106.5
20.1,37.4
20.2,164.7
20.3,336.1
20.4,314.0
20.5,227.5
20.6,99.2
20.7,78.0
20.8,149.8
20.9,192.2
21.0,124.5
21.1,80.7
21.2,152.6
21.3,202.1
21.4,368.1
21.5,350.9
21.6,153.0
21.7,53.6
21.8,96.2
21.9,188.5
22.0,167.9
22.1,115.9
22.2,112.8
22.3,324.3
22.4,381.4
22.5,327.9
22.6,201.4
22.7,68.1
22.8,49.3
22.9,162.7
23.0,179.4
23.1,131.3
23.2,50.0
23.3,214.7
23.4,324.0
23.5,346.8
23.6,280.4
23.7,136.4
23.8,27.9
23.9,227.1
24.0,182.5
24.1,116.1
24.2,71.5
24.3,27.3
24.4,242.2
24.5,390.6
24.6,401.9
24.7,206.0
24.8,60.9
24.9,96.8
25.0,192.3
25.1,156.1
25.2,69.6
25.3,0.0
25.4,205.9
25.5,447.5
25.6,364.9
25.7,260.8
25.8,142.8
25.9,26.6
26.0,172.6
26.1,174.9
26.2,106.6
26.3,96.4
26.4,229.4
26.5,374.3
26.6,335.3
26.7,252.0
26.8,101.2
26.9,5.5
27.0,158.4
27.1,193.5
27.2,135.7
27.3,81.3
27.4,9.1
27.5,341.5
27.6,367.2
27.7,359.3
27.8,228.3
27.9,61.2
28.0,89.8
28.1,194.4
28.2,188.5
28.3,91.1
28.4,47.6
28.5,160.3
28.6,412.7
28.7,379.8
28.8,294.1
28.9,143.6
29.0,34.2
29.1,152.6
29.2,165.5
29.3,138.4
29.4,71.8
29.5,152.7
29.6,341.3
29.7,376.4
29.8,324.7
29.9,145.7
30.0,18.5
30.1,134.2
30.2,235.5
30.3,156.7
30.4,106.7
30.5,23.2
30.6,313.9
30.7,414.3
30.8,365.0
30.9,186.0
31.0,111.3
31.1,72.9
31.2,207.7
31.3,182.0
31.4,82.5
31.5,96.2
31.6,173.2
31.7,362.7
31.8,377.6
31.9,207.6
32.0,159.3
32.1,28.1
32.2,184.7
32.3,163.7
32.4,124.1
32.5,77.5
32.6,72.0
32.7,344.9
32.8,370.4
32.9,303.8
33.0,196.4
33.1,64.3
33.2,126.9
33.3,179.5
33.4,161.2
33.5,85.9
33.6,32.2
33.7,278.1
33.8,406.8
33.9,322.7
34.0,228.6
34.1,84.5
34.2,78.1
34.3,145.4
34.4,144.7
34.5,90.0
34.6,18.0
34.7,91.9
34.8,363.9
34.9,382.1
35.0,306.6
35.1,201.9
35.2,55.1
35.3,199.5
