t_s,poolPct
0.1,0.0
0.2,168.1
0.3,337.6
0.4,375.8
0.5,357.2
0.6,305.3
0.7,188.0
0.8,90.4
0.9,37.1
1.0,0.0
1.1,0.0
1.2,229.3
1.3,329.0
1.4,319.8
1.5,346.0
1.6,344.9
1.7,216.5
1.8,94.4
1.9,36.7
2.0,16.4
2.1,4.5
2.2,154.6
2.3,332.0
2.4,365.0
2.5,331.9
2.6,254.6
2.7,192.6
2.8,107.6
2.9,27.5
3.0,0.0
3.1,0.0
3.2,147.9
3.3,345.6
3.4,354.5
3.5,372.0
3.6,297.5
3.7,190.7
3.8,75.6
3.9,13.1
4.0,0.0
4.1,29.9
4.2,201.1
4.3,381.5
4.4,359.8
4.5,268.4
4.6,278.9
4.7,193.7
4.8,101.1
4.9,44.8
5.0,0.0
5.1,29.9
5.2,172.4
5.3,311.2
5.4,365.1
5.5,326.0
5.6,298.3
5.7,197.9
5.8,100.2
5.9,37.1
6.0,15.9
6.1,5.3
6.2,211.6
6.3,329.8
6.4,359.1
6.5,411.2
6.6,269.0
6.7,219.0
6.8,107.1
6.9,28.9
7.0,2.0
7.1,0.0
7.2,297.2
7.3,323.1
7.4,323.1
7.5,329.7
7.6,290.4
7.7,194.9
7.8,99.2
7.9,32.9
8.0,0.0
8.1,14.6
8.2,211.7
8.3,373.6
8.4,368.5
8.5,318.6
8.6,249.6
8.7,165.1
8.8,110.3
8.9,44.3
9.0,3.0
9.1,6.2
9.2,131.8
9.3,328.0
9.4,321.5
9.5,321.8
9.6,273.4
9.7,173.7
9.8,109.3
9.9,57.6
10.0,11.0
10.1,22.0
10.2,154.4
10.3,334.4
10.4,349.7
10.5,348.3
10.6,326.4
10.7,196.7
10.8,76.0
10.9,35.7
11.0,0.0
11.1,0.0
11.2,177.8
11.3,323.2
11.4,352.9
11.5,372.3
11.6,286.8
11.7,193.7
11.8,114.7
11.9,46.8
12.0,6.7
12.1,0.0
12.2,273.8
12.3,300.9
12.4,300.9
12.5,271.0
12.6,296.3
12.7,184.1
12.8,100.8
12.9,33.8
13.0,4.1
13.1,0.0
13.2,228.5
13.3,275.3
13.4,327.1
13.5,373.5
13.6,272.5
13.7,198.3
13.8,89.6
13.9,31.9
14.0,0.0
14.1,0.0
14.2,238.6
14.3,382.2
14.4,371.9
14.5,320.1
14.6,247.0
14.7,195.8
14.8,98.0
14.9,44.4
15.0,8.1
15.1,9.5
15.2,175.5
15.3,322.4
15.4,318.1
15.5,336.6
15.6,272.6
15.7,143.4
15.8,81.1
15.9,28.2
16.0,0.0
16.1,38.0
16.2,214.8
16.3,373.3
16.4,411.8
16.5,313.3
16.6,246.7
16.7,192.8
16.8,87.5
16.9,28.1
17.0,0.0
17.1,0.0
17.2,136.1
17.3,320.7
17.4,320.9
17.5,320.9
17.6,287.4
17.7,235.0
17.8,172.1
17.9,86.3
18.0,11.4
18.1,0.0
18.2,247.2
18.3,323.1
18.4,306.0
18.5,278.4
18.6,226.6
18.7,187.4
18.8,141.3
18.9,92.6
19.0,25.5
19.1,0.0
19.2,216.9
19.3,374.9
19.4,398.9
19.5,294.6
19.6,281.7
19.7,205.1
19.8,112.2
19.9,37.5
20.0,0.0
20.1,0.0
20.2,54.6
20.3,74.8
20.4,237.3
20.5,403.2
