t_s,poolPct
0.1,335.5
0.2,247.4
0.3,140.7
0.4,48.5
0.5,4.0
0.6,11.7
0.7,133.7
0.8,246.6
0.9,346.3
1.0,390.4
1.1,363.8
1.2,307.0
1.3,198.9
1.4,111.1
1.5,0.0
1.6,8.1
1.7,76.1
1.8,211.4
1.9,374.1
2.0,337.0
2.1,362.8
2.2,358.0
2.3,235.4
2.4,119.2
2.5,11.6
2.6,0.0
2.7,82.4
2.8,221.3
2.9,305.6
3.0,339.2
3.1,369.5
3.2,324.3
3.3,243.9
3.4,100.8
3.5,13.1
3.6,11.5
3.7,51.0
3.8,168.2
3.9,268.8
4.0,268.8
4.1,372.4
4.2,378.3
4.3,240.1
4.4,140.9
4.5,62.5
4.6,6.1
4.7,31.9
4.8,93.3
4.9,210.9
5.0,305.5
5.1,441.9
5.2,229.6
5.3,133.1
5.4,134.1
5.5,229.0
5.6,131.5
5.7,44.2
5.8,43.4
5.9,179.4
6.0,252.1
6.1,354.2
6.2,386.5
6.3,311.0
6.4,212.0
6.5,108.3
6.6,36.1
6.7,6.7
6.8,0.0
6.9,120.6
7.0,293.6
7.1,358.2
7.2,346.1
7.3,310.2
7.4,241.5
7.5,147.2
7.6,70.1
7.7,18.7
7.8,6.8
7.9,93.4
8.0,219.9
8.1,335.2
8.2,376.4
8.3,322.4
8.4,296.4
8.5,186.9
8.6,107.7
8.7,68.3
8.8,17.9
8.9,146.9
9.0,228.6
9.1,339.6
9.2,381.8
9.3,338.6
9.4,279.8
9.5,163.8
9.6,79.4
9.7,25.9
9.8,0.0
9.9,87.9
10.0,151.3
10.1,252.2
10.2,321.1
10.3,258.1
10.4,361.1
10.5,214.6
10.6,129.1
10.7,84.0
10.8,0.0
10.9,0.0
11.0,219.3
11.1,245.0
11.2,372.4
11.3,372.4
11.4,313.4
11.5,188.8
11.6,111.8
11.7,20.7
11.8,0.0
11.9,2.4
12.0,63.0
12.1,295.7
12.2,354.1
12.3,331.4
12.4,377.9
12.5,297.6
12.6,230.1
12.7,139.5
12.8,43.0
12.9,5.8
13.0,74.1
13.1,164.9
13.2,265.6
13.3,329.6
13.4,425.4
13.5,335.6
13.6,324.5
13.7,193.2
13.8,110.1
13.9,38.8
14.0,80.1
14.1,222.3
14.2,318.9
14.3,399.1
14.4,396.0
14.5,335.7
14.6,324.9
14.7,201.9
14.8,115.7
14.9,46.9
15.0,7.2
15.1,125.2
15.2,268.5
15.3,393.7
15.4,455.1
15.5,304.1
15.6,281.7
15.7,233.4
15.8,89.8
15.9,44.4
16.0,0.0
16.1,113.2
16.2,275.5
16.3,392.6
16.4,397.5
16.5,378.1
16.6,324.0
16.7,217.7
