t_s,poolPct
0.1,128.4
0.2,206.8
0.3,216.7
0.4,178.6
0.5,146.2
0.6,82.3
0.7,29.2
0.8,73.2
0.9,189.0
1.0,181.3
1.1,134.4
1.2,149.1
1.3,215.3
1.4,173.0
1.5,246.7
1.6,153.4
1.7,76.6
1.8,1.9
1.9,193.5
2.0,204.8
2.1,237.4
2.2,226.2
2.3,253.4
2.4,225.3
2.5,257.2
2.6,250.3
2.7,192.9
2.8,166.4
2.9,288.5
3.0,237.8
3.1,117.8
3.2,146.6
3.3,196.1
3.4,240.7
3.5,265.4
3.6,276.5
3.7,434.4
3.8,171.8
3.9,166.3
4.0,230.2
4.1,165.9
4.2,237.7
4.3,228.9
4.4,231.5
4.5,272.1
4.6,276.0
4.7,213.8
4.8,192.2
4.9,226.7
5.0,217.4
5.1,143.7
5.2,168.5
5.3,263.7
5.4,252.5
5.5,306.1
5.6,237.5
5.7,283.5
5.8,170.4
5.9,253.5
6.0,225.9
6.1,158.8
6.2,270.8
6.3,265.3
6.4,195.6
6.5,233.6
6.6,259.4
6.7,189.9
6.8,145.2
6.9,194.9
7.0,223.3
7.1,146.6
7.2,166.8
7.3,214.2
7.4,264.7
7.5,296.7
7.6,256.3
7.7,226.4
7.8,131.3
7.9,221.9
8.0,205.7
8.1,147.7
8.2,230.9
8.3,213.4
8.4,183.9
8.5,218.3
8.6,209.7
8.7,158.4
8.8,165.0
8.9,206.6
9.0,201.7
9.1,150.9
9.2,172.0
9.3,216.6
9.4,205.7
9.5,216.0
9.6,241.2
9.7,245.8
9.8,95.1
9.9,180.6
10.0,190.9
10.1,140.0
10.2,194.6
10.3,210.9
10.4,257.5
10.5,250.2
10.6,223.9
10.7,248.2
10.8,210.3
10.9,236.2
11.0,190.6
11.1,112.5
11.2,194.6
11.3,215.6
11.4,228.2
11.5,281.4
11.6,260.9
11.7,197.1
11.8,122.9
11.9,198.6
12.0,170.5
12.1,144.9
12.2,159.4
12.3,175.9
12.4,218.9
12.5,272.0
12.6,265.7
12.7,178.9
12.8,226.0
12.9,248.5
13.0,183.9
13.1,125.3
13.2,162.6
13.3,168.0
13.4,226.4
13.5,282.1
13.6,292.2
13.7,148.2
13.8,207.6
13.9,238.1
14.0,178.7
14.1,138.7
14.2,135.9
14.3,164.6
14.4,195.4
14.5,227.4
14.6,277.8
14.7,206.7
14.8,187.8
14.9,233.6
15.0,210.0
15.1,131.3
15.2,161.8
15.3,207.8
15.4,213.9
15.5,282.9
15.6,246.0
15.7,162.8
15.8,168.0
15.9,194.2
16.0,199.3
16.1,169.2
16.2,140.7
16.3,311.8
16.4,178.9
16.5,344.1
16.6,293.6
16.7,229.6
16.8,207.0
16.9,213.1
17.0,195.6
17.1,170.3
17.2,156.2
17.3,204.7
17.4,265.7
17.5,306.0
17.6,272.5
17.7,241.6
17.8,113.8
17.9,251.3
18.0,210.4
18.1,186.8
18.2,211.2
18.3,247.4
18.4,252.4
18.5,290.8
18.6,277.1
18.7,214.8
18.8,194.0
18.9,226.5
19.0,235.7
19.1,181.8
19.2,223.9
19.3,231.5
19.4,247.7
19.5,290.7
19.6,305.5
19.7,202.9
19.8,143.7
19.9,208.8
20.0,182.8
20.1,173.9
20.2,187.0
20.3,237.2
20.4,191.3
20.5,274.8
20.6,332.3
20.7,269.0
20.8,247.4
20.9,275.7
21.0,246.1
21.1,140.2
21.2,240.7
21.3,230.1
21.4,295.3
21.5,315.4
21.6,266.4
21.7,220.0
21.8,162.8
21.9,216.8
22.0,208.7
22.1,143.4
22.2,102.6
22.3,195.8
22.4,181.3
22.5,354.0
22.6,298.9
22.7,226.3
22.8,188.6
22.9,210.5
23.0,196.3
23.1,154.2
23.2,172.4
23.3,219.5
23.4,244.6
23.5,319.0
23.6,280.4
23.7,176.6
23.8,171.2
23.9,181.6
24.0,258.2
24.1,187.5
24.2,96.6
24.3,83.6
24.4,127.0
24.5,164.1
24.6,180.4
24.7,165.2
24.8,190.6
24.9,193.6
25.0,185.8
25.1,169.7
25.2,168.0
25.3,244.6
25.4,322.6
25.5,302.7
25.6,278.9
25.7,254.3
25.8,81.5
25.9,246.1
26.0,199.1
26.1,140.6
26.2,200.8
26.3,247.8
26.4,277.9
26.5,302.1
26.6,264.8
26.7,161.6
26.8,147.7
26.9,165.4
27.0,194.0
27.1,198.5
27.2,181.5
27.3,219.1
27.4,330.7
27.5,275.6
27.6,278.9
27.7,218.6
27.8,214.1
27.9,324.7
28.0,225.1
28.1,171.9
28.2,206.0
28.3,270.1
28.4,208.0
28.5,322.8
28.6,247.6
28.7,234.2
28.8,231.9
28.9,263.6
29.0,244.7
29.1,149.4
29.2,188.8
29.3,178.3
29.4,252.7
29.5,287.9
29.6,286.2
29.7,226.0
29.8,137.9
29.9,220.6
30.0,194.7
30.1,149.7
30.2,182.1
30.3,273.2
30.4,249.8
30.5,331.6
30.6,301.8
30.7,266.8
30.8,116.5
30.9,310.0
31.0,208.7
31.1,135.2
31.2,124.7
31.3,239.5
31.4,209.7
31.5,349.1
31.6,268.4
31.7,242.2
31.8,123.6
31.9,164.5
32.0,176.4
32.1,122.7
32.2,137.3
32.3,261.8
32.4,169.0
32.5,239.3
32.6,255.5
32.7,232.2
32.8,162.7
32.9,226.8
33.0,172.4
33.1,117.9
33.2,217.0
33.3,216.7
33.4,197.7
33.5,297.4
33.6,261.1
33.7,224.8
33.8,200.3
33.9,263.0
34.0,230.7
34.1,173.2
34.2,206.8
34.3,257.5
34.4,252.7
34.5,280.8
34.6,302.9
34.7,222.8
34.8,170.7
34.9,222.1
35.0,234.1
35.1,180.8
35.2,235.5
35.3,255.4
35.4,282.7
35.5,319.8
35.6,286.9
35.7,176.1
35.8,170.6
35.9,194.8
36.0,194.7
36.1,157.6
36.2,192.4
36.3,259.4
36.4,256.1
36.5,305.9
36.6,291.9
36.7,215.4
36.8,179.8
36.9,210.8
37.0,186.3
37.1,151.8
37.2,246.5
37.3,249.5
37.4,240.7
37.5,249.0
37.6,256.3
37.7,196.1
37.8,138.3
37.9,222.0
38.0,192.8
38.1,158.5
38.2,185.8
38.3,271.5
38.4,213.8
38.5,256.9
38.6,271.8
38.7,242.2
38.8,177.8
38.9,243.5
39.0,232.4
39.1,131.2
39.2,162.0
39.3,177.5
39.4,169.8
39.5,305.5
39.6,238.8
39.7,239.3
39.8,114.7
39.9,215.1
40.0,203.2
40.1,174.5
40.2,167.2
40.3,225.2
40.4,188.2
40.5,283.6
40.6,264.2
40.7,164.3
40.8,102.2
40.9,262.4
41.0,198.6
41.1,169.1
41.2,148.1
41.3,207.0
41.4,188.7
41.5,295.9
41.6,278.2
41.7,214.6
41.8,185.2
41.9,257.9
42.0,210.4
42.1,129.5
42.2,207.4
42.3,203.1
42.4,180.0
42.5,365.0
42.6,256.8
42.7,281.7
42.8,113.1
42.9,231.4
43.0,207.9
43.1,182.1
43.2,154.0
43.3,331.3
43.4,299.2
43.5,338.1
43.6,295.3
43.7,231.0
43.8,201.8
43.9,223.6
44.0,201.1
44.1,141.9
44.2,222.2
44.3,312.7
44.4,298.1
44.5,307.7
44.6,251.2
44.7,195.4
44.8,204.4
44.9,229.3
45.0,177.0
45.1,156.2
45.2,189.2
45.3,241.7
45.4,218.1
45.5,314.2
45.6,309.7
45.7,212.5
45.8,196.4
45.9,281.5
46.0,230.3
46.1,151.0
46.2,203.0
46.3,231.3
46.4,249.9
46.5,216.9
46.6,135.8
46.7,140.4
46.8,213.7
46.9,367.2
47.0,308.3
47.1,248.2
47.2,177.4
47.3,229.3
47.4,212.9
47.5,276.5
47.6,287.0
47.7,216.1
47.8,189.3
47.9,202.7
48.0,206.1
48.1,154.7
48.2,215.2
48.3,209.3
48.4,238.1
48.5,304.6
48.6,282.8
48.7,260.4
48.8,253.2
48.9,275.4
49.0,234.7
49.1,166.6
49.2,229.4
49.3,251.7
49.4,256.4
49.5,279.8
49.6,273.8
49.7,214.6
49.8,207.7
49.9,280.7
50.0,243.0
50.1,152.6
50.2,211.9
50.3,271.5
50.4,216.0
50.5,248.8
50.6,285.9
50.7,238.5
50.8,203.1
50.9,262.9
51.0,215.3
51.1,158.9
51.2,238.7
51.3,229.7
51.4,248.9
51.5,331.7
51.6,289.4
51.7,223.2
51.8,128.9
51.9,252.0
52.0,203.8
52.1,181.9
52.2,216.3
52.3,257.2
52.4,270.1
52.5,267.6
52.6,277.8
52.7,205.6
52.8,171.1
52.9,200.0
53.0,202.3
53.1,175.5
53.2,239.6
53.3,235.1
53.4,260.7
53.5,324.1
53.6,279.0
53.7,255.9
53.8,206.4
53.9,248.2
54.0,223.0
54.1,164.9
54.2,209.0
54.3,247.6
54.4,188.9
54.5,270.5
54.6,292.9
54.7,282.7
54.8,260.6
54.9,301.1
55.0,257.3
55.1,126.3
55.2,178.4
55.3,232.2
55.4,197.0
55.5,252.5
55.6,297.8
55.7,217.9
55.8,144.5
55.9,232.1
56.0,205.8
56.1,170.3
56.2,176.5
56.3,276.6
56.4,223.4
56.5,274.6
56.6,299.2
56.7,272.6
56.8,199.4
56.9,270.2
57.0,231.1
57.1,156.9
57.2,159.8
57.3,239.0
57.4,218.4
57.5,296.0
57.6,315.4
57.7,255.8
57.8,175.7
57.9,265.1
58.0,232.9
58.1,158.4
58.2,176.5
58.3,228.4
58.4,213.2
58.5,245.7
58.6,282.8
58.7,202.8
58.8,164.7
58.9,233.5
59.0,225.0
59.1,168.8
59.2,186.6
59.3,212.4
59.4,204.9
59.5,320.5
59.6,312.8
59.7,287.7
59.8,215.6
59.9,258.7
60.0,192.7
60.1,116.0
60.2,210.0
60.3,210.6
60.4,219.7
60.5,224.5
60.6,277.5
60.7,211.3
60.8,148.6
60.9,241.7
61.0,183.4
61.1,170.4
61.2,199.6
61.3,275.9
61.4,244.0
61.5,318.9
61.6,301.6
61.7,214.5
61.8,112.6
61.9,337.8
62.0,228.8
62.1,174.2
62.2,141.2
62.3,236.1
62.4,230.9
62.5,316.6
62.6,256.6
62.7,153.2
62.8,110.6
62.9,171.8
63.0,186.8
63.1,132.3
63.2,145.7
63.3,264.5
63.4,200.6
63.5,326.5
63.6,287.1
63.7,193.4
63.8,214.4
63.9,245.9
64.0,178.7
64.1,125.7
64.2,163.5
64.3,172.9
64.4,195.7
64.5,308.9
64.6,205.0
64.7,213.2
64.8,156.0
64.9,250.4
65.0,183.9
65.1,137.1
65.2,143.5
65.3,194.0
65.4,197.0
65.5,300.6
65.6,302.8
65.7,230.5
65.8,130.6
65.9,206.8
66.0,223.4
66.1,133.5
66.2,221.2
66.3,204.4
66.4,226.2
66.5,292.9
66.6,295.9
66.7,186.0
66.8,125.2
66.9,249.0
67.0,155.5
67.1,137.1
67.2,178.6
67.3,266.6
67.4,201.0
67.5,272.0
67.6,256.0
67.7,116.8
67.8,38.5
67.9,140.8
68.0,218.3
68.1,196.2
68.2,215.5
68.3,229.9
68.4,210.8
68.5,246.0
68.6,259.3
68.7,156.9
68.8,120.9
68.9,179.2
69.0,188.0
69.1,127.0
69.2,139.6
69.3,192.8
69.4,227.9
69.5,271.0
69.6,250.5
69.7,150.2
69.8,177.4
69.9,219.2
70.0,190.4
70.1,118.1
70.2,99.9
70.3,192.5
70.4,248.4
70.5,287.6
70.6,259.1
70.7,145.6
70.8,198.6
70.9,168.5
71.0,178.0
71.1,142.6
71.2,131.3
71.3,220.5
71.4,209.2
71.5,255.3
71.6,284.1
71.7,183.9
71.8,116.0
71.9,166.0
72.0,171.2
72.1,138.3
72.2,197.9
72.3,250.3
72.4,192.5
72.5,300.9
72.6,280.1
72.7,194.4
72.8,144.3
72.9,272.9
73.0,185.6
73.1,131.4
73.2,150.2
73.3,199.5
73.4,246.7
73.5,290.6
73.6,268.3
73.7,170.4
73.8,191.2
73.9,213.8
74.0,203.8
74.1,97.7
74.2,89.0
74.3,274.1
74.4,190.6
74.5,289.8
74.6,303.6
74.7,216.9
74.8,99.9
74.9,254.0
75.0,210.8
75.1,129.2
75.2,181.5
75.3,234.7
75.4,216.3
75.5,353.5
75.6,299.1
75.7,215.5
75.8,132.3
75.9,185.0
76.0,202.1
