t_s,poolPct
0.1,168.7
0.2,105.9
0.3,23.3
0.4,2.6
0.5,43.4
0.6,176.1
0.7,148.2
0.8,41.1
0.9,95.6
1.0,192.3
1.1,143.8
1.2,65.8
1.3,16.5
1.4,156.3
1.5,212.2
1.6,312.7
1.7,276.3
1.8,154.4
1.9,101.8
2.0,175.6
2.1,165.7
2.2,195.5
2.3,170.0
2.4,84.3
2.5,10.0
2.6,218.7
2.7,159.2
2.8,57.9
2.9,35.0
3.0,198.8
3.1,153.3
3.2,332.5
3.3,169.7
3.4,65.5
3.5,32.9
3.6,141.8
3.7,164.9
3.8,83.6
3.9,158.0
4.0,219.8
4.1,129.2
4.2,228.0
4.3,206.9
4.4,167.1
4.5,91.9
4.6,198.0
4.7,182.5
4.8,89.6
4.9,30.3
5.0,173.8
5.1,192.7
5.2,185.9
5.3,199.9
5.4,125.7
5.5,127.3
5.6,178.2
5.7,176.8
5.8,107.1
5.9,134.1
6.0,182.4
6.1,135.4
6.2,176.8
6.3,185.6
6.4,115.0
6.5,86.5
6.6,181.1
6.7,146.0
6.8,96.5
6.9,61.7
7.0,227.6
7.1,153.3
7.2,160.8
7.3,201.8
7.4,109.2
7.5,67.5
7.6,165.3
7.7,147.8
7.8,75.9
7.9,4.0
8.0,227.5
8.1,172.0
8.2,265.0
8.3,191.3
8.4,81.7
8.5,58.2
8.6,217.3
8.7,150.6
8.8,65.0
8.9,86.3
9.0,175.1
9.1,151.8
9.2,206.9
9.3,195.3
9.4,109.1
9.5,112.4
9.6,184.8
9.7,205.1
9.8,118.0
9.9,76.9
10.0,187.8
10.1,184.4
10.2,193.2
10.3,160.3
10.4,60.5
10.5,53.2
10.6,152.8
10.7,179.2
10.8,117.9
10.9,123.0
11.0,170.5
11.1,185.8
11.2,306.1
11.3,211.2
11.4,85.8
11.5,31.6
11.6,175.6
11.7,180.0
11.8,94.1
11.9,85.4
12.0,164.9
12.1,184.9
12.2,194.0
12.3,235.4
12.4,120.6
12.5,87.0
12.6,126.3
12.7,185.8
12.8,121.7
12.9,117.3
13.0,185.0
13.1,220.0
13.2,250.8
13.3,199.9
13.4,98.2
13.5,112.2
13.6,210.2
13.7,144.8
13.8,36.7
13.9,23.5
14.0,135.9
14.1,180.1
14.2,203.4
14.3,212.2
14.4,93.8
14.5,66.6
14.6,171.9
14.7,174.1
14.8,115.2
14.9,167.7
15.0,187.7
15.1,156.0
15.2,161.9
15.3,205.4
15.4,130.4
15.5,47.5
15.6,189.8
15.7,177.2
15.8,104.1
15.9,14.7
16.0,243.3
16.1,186.5
16.2,227.2
16.3,238.4
16.4,213.2
16.5,111.7
16.6,167.3
16.7,186.9
16.8,117.4
16.9,67.9
17.0,111.5
17.1,170.3
17.2,235.5
17.3,235.2
17.4,142.0
17.5,149.0
17.6,169.0
17.7,200.8
17.8,98.9
17.9,56.4
18.0,173.9
18.1,234.8
18.2,301.2
18.3,199.6
18.4,93.2
18.5,58.4
18.6,129.9
18.7,163.0
18.8,72.9
18.9,34.1
19.0,148.5
19.1,238.8
19.2,287.1
19.3,249.6
19.4,122.8
19.5,173.6
19.6,196.6
19.7,129.0
19.8,53.0
19.9,5.5
20.0,196.6
20.1,189.2
20.2,231.7
20.3,177.1
20.4,90.7
20.5,46.1
20.6,126.0
20.7,183.5
20.8,128.9
20.9,119.6
21.0,178.8
21.1,159.2
21.2,224.4
21.3,163.1
21.4,109.3
21.5,46.4
21.6,165.2
21.7,169.1
21.8,79.5
21.9,60.7
22.0,186.1
22.1,175.3
22.2,243.5
22.3,213.3
22.4,122.1
22.5,102.8
22.6,165.2
22.7,178.5
22.8,103.9
22.9,127.0
23.0,183.4
23.1,184.8
23.2,249.9
23.3,202.0
23.4,105.5
23.5,18.0
23.6,139.2
23.7,184.2
23.8,118.6
23.9,87.6
24.0,193.9
24.1,164.6
24.2,317.5
24.3,185.6
24.4,81.5
24.5,27.3
24.6,108.7
24.7,171.2
24.8,81.3
24.9,151.1
25.0,211.1
25.1,128.6
25.2,178.2
25.3,185.9
25.4,102.6
25.5,145.4
25.6,167.4
25.7,156.3
25.8,55.9
25.9,38.2
26.0,171.1
26.1,215.7
26.2,261.5
26.3,189.2
26.4,88.7
26.5,70.3
26.6,161.4
26.7,150.9
26.8,54.1
26.9,77.2
27.0,162.1
27.1,194.0
27.2,302.4
27.3,225.2
27.4,112.0
27.5,49.0
27.6,227.0
27.7,183.9
27.8,129.8
27.9,130.1
28.0,199.5
28.1,199.5
28.2,218.4
28.3,214.1
28.4,114.8
28.5,106.2
28.6,157.4
28.7,178.0
28.8,130.2
28.9,166.1
29.0,170.4
29.1,189.7
29.2,209.0
29.3,248.7
29.4,146.9
29.5,107.4
29.6,148.5
29.7,191.0
29.8,142.1
29.9,153.7
30.0,184.8
30.1,193.5
30.2,259.8
30.3,193.8
30.4,115.0
30.5,28.4
30.6,185.8
30.7,175.4
30.8,105.0
30.9,17.8
31.0,225.9
31.1,199.5
31.2,192.7
31.3,238.7
31.4,145.7
31.5,110.1
31.6,190.5
31.7,161.3
31.8,87.3
31.9,109.6
32.0,183.6
32.1,188.6
32.2,254.4
32.3,221.0
32.4,119.3
32.5,71.3
32.6,191.6
32.7,170.6
32.8,105.9
32.9,5.9
33.0,165.8
33.1,167.0
33.2,291.6
33.3,276.8
33.4,133.4
33.5,70.3
33.6,100.9
33.7,179.3
33.8,108.8
33.9,77.7
34.0,134.5
34.1,192.5
34.2,251.2
34.3,227.0
34.4,125.9
34.5,39.4
34.6,145.4
34.7,199.5
34.8,123.1
34.9,154.6
35.0,184.6
35.1,170.8
35.2,278.9
35.3,210.9
35.4,125.1
35.5,34.4
35.6,147.8
35.7,194.5
35.8,145.3
35.9,156.1
36.0,186.1
36.1,185.1
36.2,251.5
36.3,270.2
36.4,148.5
36.5,89.6
36.6,118.6
36.7,202.6
36.8,121.0
36.9,135.0
37.0,182.0
37.1,213.1
37.2,248.5
37.3,221.7
37.4,132.3
37.5,115.5
37.6,204.3
37.7,159.5
37.8,133.3
37.9,129.3
38.0,189.5
38.1,237.8
38.2,271.6
38.3,227.6
38.4,121.3
38.5,101.5
38.6,162.2
38.7,176.2
38.8,122.7
38.9,55.6
39.0,131.0
39.1,232.6
39.2,280.0
39.3,300.9
39.4,144.2
39.5,55.3
39.6,203.7
39.7,177.9
39.8,128.4
39.9,126.6
40.0,177.9
40.1,201.5
40.2,251.3
40.3,244.6
40.4,133.8
40.5,88.9
40.6,169.2
40.7,187.3
40.8,136.9
40.9,89.3
41.0,169.4
41.1,190.7
41.2,214.3
41.3,288.8
41.4,124.5
41.5,81.4
41.6,203.0
41.7,195.3
41.8,113.3
41.9,145.9
42.0,191.6
42.1,233.0
42.2,309.7
42.3,271.6
42.4,107.1
42.5,53.0
42.6,228.0
42.7,184.9
42.8,148.3
42.9,133.1
43.0,211.3
43.1,180.6
43.2,195.2
43.3,212.6
43.4,150.9
43.5,123.5
43.6,174.6
43.7,177.3
43.8,116.7
43.9,165.0
44.0,164.6
44.1,168.6
44.2,258.5
44.3,189.8
44.4,107.9
44.5,6.0
44.6,152.2
44.7,154.8
44.8,92.0
44.9,136.1
45.0,176.7
45.1,222.3
45.2,266.2
45.3,176.9
45.4,88.5
45.5,73.5
45.6,170.6
45.7,185.0
45.8,111.1
45.9,39.7
46.0,145.8
46.1,186.6
46.2,190.6
46.3,202.3
46.4,134.6
46.5,111.1
46.6,167.0
46.7,177.5
46.8,113.5
46.9,112.3
47.0,160.2
47.1,235.6
47.2,277.8
47.3,258.3
47.4,106.9
47.5,42.8
47.6,198.8
47.7,182.0
47.8,108.7
47.9,148.9
48.0,175.3
48.1,206.1
48.2,246.5
48.3,271.8
48.4,118.1
48.5,89.7
48.6,159.5
48.7,195.0
48.8,126.0
48.9,94.0
49.0,107.7
49.1,171.3
49.2,248.8
49.3,258.0
49.4,161.6
49.5,91.4
49.6,139.5
49.7,207.0
49.8,142.2
49.9,112.9
50.0,192.5
50.1,182.5
50.2,254.9
50.3,286.2
50.4,128.2
50.5,53.8
50.6,172.5
50.7,193.6
50.8,197.9
50.9,218.7
51.0,204.5
51.1,140.7
51.2,198.1
51.3,203.8
51.4,172.3
51.5,238.8
51.6,175.6
51.7,155.4
51.8,101.8
51.9,99.5
52.0,204.2
52.1,204.9
52.2,279.9
52.3,235.8
52.4,95.1
52.5,43.0
52.6,164.2
52.7,170.2
52.8,76.3
52.9,100.6
53.0,182.9
53.1,228.6
53.2,272.8
53.3,251.0
53.4,146.7
53.5,83.1
53.6,145.4
53.7,202.4
53.8,135.9
53.9,180.3
54.0,204.2
54.1,181.1
54.2,273.1
54.3,239.7
54.4,123.3
54.5,68.4
54.6,194.5
54.7,174.0
54.8,146.4
54.9,185.8
55.0,171.8
55.1,192.3
55.2,197.1
55.3,261.8
55.4,157.9
55.5,107.4
55.6,144.0
55.7,203.2
55.8,136.1
55.9,107.7
56.0,166.9
56.1,214.4
56.2,262.3
56.3,223.2
56.4,120.5
56.5,84.7
56.6,230.2
56.7,231.1
56.8,111.2
56.9,51.6
57.0,211.5
57.1,194.0
57.2,212.3
57.3,245.1
57.4,168.8
57.5,120.8
57.6,182.5
57.7,168.6
57.8,101.1
57.9,110.0
58.0,165.0
58.1,169.7
58.2,150.0
58.3,212.5
58.4,146.4
58.5,125.3
58.6,258.2
58.7,180.9
58.8,102.0
58.9,79.5
59.0,179.8
59.1,219.9
59.2,283.2
59.3,241.9
59.4,130.4
59.5,80.8
59.6,168.8
59.7,181.6
59.8,122.5
59.9,111.0
60.0,154.5
60.1,178.2
60.2,234.1
60.3,225.4
60.4,127.1
60.5,138.3
60.6,211.5
60.7,178.9
60.8,118.0
60.9,31.3
61.0,168.7
61.1,202.2
61.2,191.6
61.3,285.9
61.4,170.2
61.5,132.9
61.6,182.0
61.7,180.4
61.8,136.7
61.9,102.3
62.0,175.4
62.1,231.9
62.2,277.0
62.3,214.6
62.4,113.8
62.5,128.0
62.6,176.2
62.7,200.4
62.8,128.8
62.9,79.7
63.0,185.2
63.1,196.3
63.2,352.6
63.3,257.5
63.4,98.9
63.5,69.0
63.6,174.1
63.7,163.7
63.8,102.9
63.9,85.1
64.0,178.3
64.1,213.0
64.2,243.2
64.3,212.4
64.4,125.4
64.5,81.4
64.6,148.7
64.7,180.3
64.8,120.6
64.9,62.5
65.0,189.8
65.1,189.4
65.2,356.4
65.3,207.2
65.4,94.0
65.5,43.4
65.6,205.7
65.7,188.1
65.8,135.9
65.9,91.6
66.0,212.1
66.1,196.1
66.2,297.7
66.3,252.8
66.4,140.7
66.5,103.8
66.6,190.1
66.7,168.1
66.8,114.8
66.9,52.8
67.0,132.0
67.1,206.8
67.2,267.9
67.3,240.6
67.4,114.0
67.5,5.8
67.6,262.9
67.7,199.2
67.8,105.8
67.9,85.5
68.0,237.5
68.1,221.3
68.2,251.7
68.3,204.4
68.4,82.8
68.5,100.6
68.6,159.4
68.7,175.9
68.8,127.8
68.9,122.6
69.0,185.8
69.1,142.4
69.2,159.2
69.3,197.9
69.4,131.5
69.5,54.0
69.6,160.8
69.7,179.6
69.8,100.0
69.9,83.3
70.0,114.5
70.1,193.8
70.2,281.4
70.3,254.8
70.4,134.2
70.5,61.2
70.6,186.2
70.7,199.6
70.8,98.1
70.9,127.4
71.0,190.6
71.1,219.5
71.2,259.2
71.3,197.4
71.4,118.0
71.5,98.5
71.6,193.5
71.7,187.1
71.8,126.7
71.9,110.1
72.0,169.1
72.1,183.7
72.2,306.0
72.3,283.8
72.4,142.9
72.5,64.3
72.6,149.8
72.7,197.5
72.8,119.2
72.9,29.9
73.0,238.5
73.1,203.8
73.2,299.3
73.3,252.8
73.4,85.6
73.5,26.2
73.6,199.9
73.7,174.4
73.8,108.4
73.9,65.9
74.0,141.6
74.1,200.2
74.2,222.6
74.3,234.8
74.4,145.0
74.5,98.4
74.6,163.2
74.7,186.4
74.8,106.8
74.9,107.9
75.0,185.3
75.1,155.3
75.2,240.8
75.3,174.4
